BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge_rescaled,GFABuildingNormalised,GFAParkingNormalised,GFAPerBuilding,GFAPerFloor,Electricity_ratio,Natural_gas_ratio,SteamUse_ratio
NonResidential,Self-Storage Facility,DOWNTOWN,1.0,3.0,70586.0,,2158629.0,45.43,100,1.0,0.0,70586.0,23528.667,0.69499,0.30501,0.0
NonResidential,Hotel,DOWNTOWN,1.0,24.0,332210.0,67.0,16163194.0,295.33,40,0.38,0.62,332210.0,13842.083,0.75507,0.24493,0.0
NonResidential,Large Office,DOWNTOWN,1.0,5.0,168115.0,78.0,9536161.0,66.48,35,1.0,0.0,168115.0,33623.0,1.0,0.0,0.0
NonResidential,Other,DOWNTOWN,1.0,2.0,57428.0,,1247362.0,33.26,90,1.0,0.0,57428.0,28714.0,0.57316,0.42684,0.0
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,8.0,59400.0,14.0,5071974.0,35.36,100,1.0,0.0,59400.0,7425.0,1.0,0.0,0.0
NonResidential,Mixed Use Property,DOWNTOWN,1.0,2.0,52549.0,,15026196.0,584.31,85,1.0,0.0,52549.0,26274.5,0.30829,0.69171,0.0
NonResidential,Hotel,DOWNTOWN,1.0,20.0,98634.0,71.0,4841347.5,59.19,80,0.89818,0.10182,98634.0,4931.7,0.88613,0.11387,0.0
NonResidential,Hotel,DOWNTOWN,1.0,34.0,994212.0,63.0,80469216.0,2451.58,25,0.85245,0.14755,994212.0,29241.529,0.566,0.28986,0.14414
NonResidential,Hotel,DOWNTOWN,1.0,7.0,71150.0,98.0,5348309.0,134.38,25,1.0,0.0,71150.0,10164.286,0.60653,0.39347,0.0
NonResidential,Hotel,DOWNTOWN,1.0,7.0,122810.0,99.0,5401277.5,227.18,100,1.0,0.0,122810.0,17544.286,0.23949,0.76051,0.0
NonResidential,Hotel,LAKE UNION,1.0,5.0,113173.0,86.0,5284343.5,144.79,50,0.62406,0.37594,113173.0,22634.6,0.55725,0.44275,0.0
NonResidential,Hotel,LAKE UNION,1.0,7.0,150453.0,84.0,6715187.0,199.95,10,0.76913,0.23087,150453.0,21493.286,0.50574,0.49426,0.0
NonResidential,Hotel,LAKE UNION,1.0,6.0,116300.0,80.0,5827595.5,162.39,10,0.75752,0.24248,116300.0,19383.333,0.54713,0.45287,0.0
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,6.0,155602.0,81.0,6836900.0,152.76,10,0.76386,0.23614,155602.0,25933.667,0.66681,0.33319,0.0
NonResidential,K-12 School,EAST,1.0,3.0,56072.0,76.0,3234787.75,146.34,100,1.0,0.0,56072.0,18690.667,0.1706,0.8294,0.0
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,4.0,122942.0,94.0,5337334.0,171.64,10,0.63486,0.36514,122942.0,30735.5,0.45411,0.54589,0.0
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,2.0,54984.0,71.0,3375211.0,87.98,45,1.0,0.0,54984.0,27492.0,0.58611,0.41389,0.0
NonResidential,Senior Care Community,SOUTHWEST,1.0,5.0,217603.0,54.0,42792072.0,1727.11,85,1.0,0.0,217603.0,43520.6,0.27633,0.72367,0.0
NonResidential,Senior Care Community,NORTHWEST,1.0,2.0,93397.0,1.0,16402563.0,609.1,40,1.0,0.0,93397.0,46698.5,0.34626,0.65374,0.0
NonResidential,Hotel,LAKE UNION,1.0,6.0,84103.0,74.0,3706100.25,67.06,0,0.75349,0.24651,84103.0,14017.167,0.75893,0.24107,0.0
NonResidential,Medical Office,EAST,0.0,3.0,179014.0,48.0,16701055.0,430.84,45,1.0,0.0,46261.5,59671.333,0.59197,0.40803,0.0
NonResidential,Hotel,EAST,1.0,7.0,76631.0,71.0,7258758.5,262.75,100,1.0,0.0,76631.0,10947.286,0.36656,0.63344,0.0
NonResidential,Mixed Use Property,EAST,1.0,6.0,99780.0,,15473117.0,481.97,25,0.90638,0.09362,99780.0,16630.0,0.65567,0.0,0.34433
NonResidential,Retail Store,LAKE UNION,1.0,2.0,58320.0,96.0,1049748.625,39.06,80,1.0,0.0,58320.0,29160.0,0.34466,0.65534,0.0
NonResidential,Large Office,LAKE UNION,1.0,5.0,316306.0,96.0,13795954.0,138.85,0,1.0,0.0,316306.0,63261.2,0.93296,0.06704,0.0
NonResidential,Hotel,LAKE UNION,1.0,7.0,282863.0,37.0,19459304.0,526.85,20,0.84174,0.15826,282863.0,40409.0,0.56429,0.43571,0.0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,389000.0,,23658978.0,607.41,45,1.0,0.0,389000.0,389000.0,0.60946,0.02911,0.25754
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,91213.0,,8141155.5,344.2,45,1.0,0.0,91213.0,91213.0,0.46113,0.0,0.50609
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,5.0,396085.0,,20955026.0,804.2,70,1.0,0.0,396085.0,79217.0,0.34609,0.0,0.46594
NonResidential,Large Office,LAKE UNION,1.0,12.0,571329.0,91.0,39605888.0,617.52,0,1.0,0.0,571329.0,47610.75,0.81317,0.18683,0.0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,52000.0,,2726369.0,101.83,45,1.0,0.0,52000.0,26000.0,0.47439,0.0,0.44102
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,60696.0,,875943.3125,6.11,80,1.0,0.0,60696.0,60696.0,1.0,0.0,0.0
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,262048.0,,20723248.0,490.73,80,1.0,0.0,262048.0,131024.0,0.65205,0.0,0.2479
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,0.0,2.0,66240.0,,4166306.25,29.04,25,0.96449,0.03551,46261.5,33120.0,1.0,0.0,0.0
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1.0,6.0,920598.0,93.0,36667044.0,674.09,0,0.6701,0.3299,920598.0,153433.0,0.75264,0.24736,0.0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,76213.0,68.0,3476212.5,48.76,40,0.65977,0.34023,76213.0,19053.25,0.8471,0.1529,0.0
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,6.0,96910.0,56.0,5155568.5,152.14,5,0.61888,0.38112,96910.0,16151.667,0.51149,0.48851,0.0
NonResidential,Hotel,NORTHEAST,2.0,4.0,50017.0,53.0,5448975.0,191.2,45,1.0,0.0,25008.5,12504.25,0.39059,0.60941,0.0
NonResidential,K-12 School,EAST,1.0,3.0,67743.0,34.0,2646879.0,78.85,85,1.0,0.0,67743.0,22581.0,0.50542,0.49458,0.0
NonResidential,K-12 School,EAST,1.0,6.0,194104.0,100.0,6219841.5,243.23,100,1.0,0.0,194104.0,32350.667,0.30353,0.69647,0.0
NonResidential,Small- and Mid-Sized Office,SOUTHEAST,1.0,3.0,99433.0,63.0,4897760.0,34.14,5,0.64044,0.35956,99433.0,33144.333,1.0,0.0,0.0
NonResidential,Other,NORTHEAST,1.0,4.0,56521.0,,6357632.0,44.32,70,1.0,0.0,56521.0,14130.25,1.0,0.0,0.0
NonResidential,Other,NORTHEAST,1.0,2.0,206934.0,,4253577.5,133.58,80,1.0,0.0,206934.0,103467.0,0.47045,0.52955,0.0
NonResidential,Hotel,NORTHWEST,1.0,4.0,51390.0,89.0,3611538.0,127.29,10,1.0,0.0,51390.0,12847.5,0.38717,0.61283,0.0
SPS-District K-12,K-12 School,NORTHWEST,1.0,1.0,245587.0,92.0,11765682.0,443.73,50,1.0,0.0,245587.0,245587.0,0.33368,0.66632,0.0
NonResidential,Hotel,NORTHWEST,1.0,3.0,69138.0,78.0,3242458.0,89.02,5,1.0,0.0,69138.0,23046.0,0.55603,0.44397,0.0
NonResidential,Hotel,DOWNTOWN,1.0,5.0,190980.0,98.0,6505995.0,142.39,105,1.0,0.0,190980.0,38196.0,0.67675,0.32325,0.0
Nonresidential COS,Other,DOWNTOWN,1.0,6.0,284100.0,,14641502.0,429.12,10,1.0,0.0,284100.0,47350.0,0.66954,0.03602,0.29445
NonResidential,Hospital,BALLARD,4.0,5.0,285333.0,14.0,68090728.0,1990.5,55,1.0,0.0,71333.25,57066.6,0.5175,0.4825,0.0
Nonresidential COS,Other,DOWNTOWN,1.0,4.0,61156.0,,9363374.0,176.75,5,1.0,0.0,61156.0,15289.0,0.74196,0.25804,0.0
NonResidential,Other,DOWNTOWN,1.0,4.0,72820.0,,2010454.625,46.26,100,0.81022,0.18978,72820.0,18205.0,0.65242,0.34758,0.0
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,4.0,162222.0,76.0,7946961.0,228.4,15,0.91247,0.08753,162222.0,40555.5,0.52818,0.47182,0.0
